eegRawValue,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid
547011,107334,16775232,16755346,31316,16771241,16748020,16757008,up
632990,38274,16744894,65807,186930,132149,34879,16753028,up
1146302,998427,438588,272965,828554,283669,114254,505679,up
973339,1088771,45046,82494,91993,16758339,131252,31248,up
419995,586996,236427,356979,20738,16763388,85028,31419,up
179258,261852,120245,16776163,16771314,142294,68793,16751782,up
1398409,939897,89203,50654,52597,91554,135967,76041,up
1252977,944018,444740,249542,163935,146713,174677,16764325,up
313371,517607,304593,16756601,16766642,16756383,65066,20458,up
1712588,998527,397458,449834,284814,470455,556964,462797,up
640020,64957,28681,16767351,19977,16759754,19265,11343,up
556499,16747698,14335,3484,6966,15719,19769,14349,up
296414,76826,17892,27657,4761,11079,4048,725,rest
90493,9649,1666,1383,835,1204,332,16777100,rest
16766074,16756128,18097,16746889,4523,9421,7473,2253,rest
1116819,212033,16770162,8023,87126,27571,30837,16768412,right
1047726,35851,13661,13281,27401,11229,16688,11363,right
1414314,304051,128612,72795,82658,16753633,16772403,26935,right
2153418,1177359,57012,129689,97806,16768929,97478,16757514,right
1020118,437097,667435,71862,67060,29406,50209,30024,right
666863,151053,16751867,31068,20149,16746576,31172,11422,right
1481238,1001286,551104,16767250,621703,16756070,16772797,208022,right
1919450,16758028,92032,68756,16548,16754209,16750407,10293,right
614682,99391,16750281,16959,19345,24630,70786,12192,right
717239,305183,141709,9681,16985,21216,16748034,14674,right
158040,16769683,21343,5094,8130,4966,7193,3619,right
1997862,183101,148961,63442,102737,60161,72870,16762283,right
415790,26535,16756610,12256,6622,13300,6627,2333,rest
84960,17970,80309,19713,24323,7049,3918,3487,rest
91182,197977,16755965,6259,7583,8225,4973,2538,rest
2114088,82827,4461,11878,7675,5861,7314,8124,down
699013,212515,210453,105428,16763200,28751,19459,14102,down
1457038,32589,140004,203969,20832,30275,16757201,14504,down
232784,22717,19334,16748374,16744383,13241,10849,7239,down
1263359,319392,81408,86406,67829,16757479,16747215,24262,down
1020738,30630,7742,5986,4896,4142,6794,5082,down
1773583,311175,16751463,188696,16747235,46775,213572,46476,down
595089,29584,5617,4671,4109,2548,15089,7804,down
589695,222180,21165,16750667,19175,16748806,24714,18450,down
1605392,374918,417896,151214,16748326,16759807,86143,73429,down
297554,34964,16210,7750,6893,16763815,16760367,6961,down
2359020,643368,267329,71718,94505,16773017,91609,70922,down
1849002,163216,16775506,16767761,10835,16773507,6458,3630,rest
24808,16757698,16646,5103,11159,10401,3508,1783,rest
16768499,16748672,2171,17996,11981,7601,3322,2215,rest
2088132,247247,358713,91622,170172,106370,222709,226673,left
1954090,52233,16769027,40806,16772042,68540,65914,16751183,left
148056,32696,30688,16757022,12631,11564,19863,10480,left
1365651,1161349,613964,611895,310253,127916,114443,138534,left
789103,40042,20367,7614,10738,13599,13443,7188,left
1443622,823216,31918,156134,80260,16746662,95765,20878,left
1226568,448656,15129,270222,16755611,16755993,16766310,32248,left
465347,174260,6812,28391,16701,17218,13554,12247,left
16775524,182704,16763564,26628,16753080,9901,12507,4146,left
1242607,621633,105668,72734,39601,39212,16762298,16770164,left
506961,152813,30129,31533,21422,16758696,15127,3573,left
315418,41732,23734,24877,16770485,16772482,66752,30905,left
1444660,28141,24294,30740,12062,4583,15979,6098,rest
